School Name,City and State,Type,Conference,Division
Macalester College,"Saint Paul, Minnesota",Private,Minnesota Intercollegiate Athletic Conference,NCAA D3
Macomb Community College,"Warren, Michigan",Public,MCCAA,JC
Madison College,"Madison, Wisconsin",Public,Region 4,JC
Madonna University,"Livonia, Michigan",Private,Wolverine-Hoosier Athletic Conference,NAIA
Malone University,"Canton, Ohio",Private,Great Midwest Athletic Conference,NCAA D2
Manchester University,"North Manchester, Indiana",Private,Heartland Collegiate Athletic Conference,NCAA D3
Manhattan University,"Riverdale, New York",Private,Metro Atlantic Athletic Conference,NCAA D1
Manhattanville College,"Purchase, New York",Private,Skyline Conference,NCAA D3
Mansfield University of Pennsylvania,"Mansfield, Pennsylvania",Public,Pennsylvania State Athletic Conference,NCAA D2
Maranatha Baptist University,"Watertown, Wisconsin",Private,NCCAA,NCAA D3
Marian University – Indiana,"Indianapolis, Indiana",Private,Crossroads League,NAIA
Marian University – Wisconsin,"Fond Du Lac, Wisconsin",Private,Northern Athletics Collegiate Conference,NCAA D3
Marian University's Ancilla College,"Plymouth, Indiana",Private,MCCAA,JC
Marietta College,"Marietta, Ohio",Private,Ohio Athletic Conference,NCAA D3
Marion Military Institute,"Marion, Alabama",Public,Alabama Community College Conference,JC
Marist College,"Poughkeepsie, New York",Private,Metro Atlantic Athletic Conference,NCAA D1
Mars Hill University,"Mars Hill, North Carolina",Private,South Atlantic Conference,NCAA D2
Marshall University,"Huntington, West Virginia",Public,Sun Belt Conference,NCAA D1
Marshalltown Community College,"Marshalltown, Iowa",Public,ICCAC,JC
Martin Luther College,"New Ulm, Minnesota",Private,Upper Midwest Athletic Conference,NCAA D3
Mary Baldwin University,"Staunton, Virginia",Private,USA South Athletic Conference,NCAA D3
Marymount University (VA),"Arlington, Virginia",Private,Atlantic East Conference,NCAA D3
Maryville College,"Maryville, Tennessee",Private,Collegiate Conference of the South,NCAA D3
Maryville University,"Saint Louis, Missouri",Private,Great Lakes Valley Conference,NCAA D2
Marywood University,"Scranton, Pennsylvania",Private,Atlantic East Conference,NCAA D3
Massachusetts College of Liberal Arts,"North Adams, Massachusetts",Public,Massachusetts State Collegiate Athletic Conference,NCAA D3
Massachusetts Institute of Technology – MIT,"Cambridge, Massachusetts",Private,New England Women's & Men's Athletic Conference,NCAA D3
Massachusetts Maritime Academy,"Buzzards Bay, Massachusetts",Public,Massachusetts State Collegiate Athletic Conference,NCAA D3
Massasoit Community College,"Brockton, Massachusetts",Public,Region 21,JC
Mayville State University,"Mayville, North Dakota",Public,North Star Athletic Association,NAIA
McCook Community College,"McCook, Nebraska",Public,Region 9,JC
McDaniel College,"Westminster, Maryland",Private,Centennial Conference,NCAA D3
McHenry County College,"Crystal Lake, Illinois",Public,Illinois Skyway Collegiate Conference,JC
McKendree University,"Lebanon, Illinois",Private,Great Lakes Valley Conference,NCAA D2
McLennan Community College,"Waco, Texas",Public,NTJCAC,JC
McMurry University,"Abilene, Texas",Private,American Southwest Conference,NCAA D3
McNeese State University,"Lake Charles, Louisiana",Public,Southland Conference,NCAA D1
McPherson College,"Mcpherson, Kansas",Private,Kansas Collegiate Athletic Conference,NAIA
Mendocino College,"Ukiah, California",Public,Bay Valley,JC
Menlo College,"Atherton, California",Private,Pacific West Conference,NCAA D2
Merced College,"Merced, California",Public,Central Valley Conference,JC
Mercer County Community College,"West Windsor, New Jersey",Public,Garden State Athletic Conference,JC
Mercer University,"Macon, Georgia",Private,Southern Conference,NCAA D1
Mercy University,"Dobbs Ferry, New York",Private,East Coast Conference,NCAA D2
Mercyhurst University,"Erie, Pennsylvania",Private,Northeast Conference,NCAA D1
Meridian Community College,"Meridian, Mississippi",Public,MACCC,JC
Merrimack College,"North Andover, Massachusetts",Private,Metro Atlantic Athletic Conference,NCAA D1
Mesa Community College,"Mesa, Arizona",Public,ACCAC,JC
Messiah University,"Mechanicsburg, Pennsylvania",Private,Middle Atlantic Conferences,NCAA D3
Methodist University,"Fayetteville, North Carolina",Private,USA South Athletic Conference,NCAA D3
Metropolitan Community College,"Independence, Missouri",Public,Region 16,JC
Metropolitan State University of Denver,"Denver, Colorado",Public,Rocky Mountain Athletic Conference,NCAA D2
Miami Dade College,"Miami, Florida",Public,FCSAA,JC
Miami University,"Oxford, Ohio",Public,Mid-American Conference,NCAA D1
Michigan State University,"East Lansing, Michigan",Public,Big Ten,NCAA D1
Mid Michigan Community College,"Harrison, Michigan",Public,MCCAA,JC
Mid-America Christian University,"Oklahoma City, Oklahoma",Private,Sooner Athletic Conference,NAIA
MidAmerica Nazarene University,"Olathe, Kansas",Private,Heart of America Athletic Conference,NAIA
Middle Georgia State University,"Macon, Georgia",Public,Southern States Athletic Conference,NAIA
Middle Tennessee State University,"Murfreesboro, Tennessee",Public,Conference USA,NCAA D1
Middlebury College,"Middlebury, Vermont",Private,New England Small College Athletic Conference,NCAA D3
Middlesex College,"Edison, New Jersey",Public,Garden State Athletic Conference,JC
Midland College,"Midland, Texas",Public,WJCAC,JC
Midland University,"Fremont, Nebraska",Private,Great Plains Athletic Conference,NAIA
Midway University,"Midway, Kentucky",Private,River States Conference,NAIA
Miles College,"Fairfield, Alabama",Private,Southern Intercollegiate Athletic Conference,NCAA D2
Miles Community College,"Miles City, Montana",Public,Mon-Dak Conference,JC
Millersville University of Pennsylvania,"Millersville, Pennsylvania",Public,Pennsylvania State Athletic Conference,NCAA D2
Milligan University,"Milligan University, Tennessee",Private,Appalachian Athletic Conference,NAIA
Millikin University,"Decatur, Illinois",Private,College Conference of Illinois and Wisconsin,NCAA D3
Millsaps College,"Jackson, Mississippi",Private,Southern Athletic Association,NCAA D3
Milwaukee Area Technical College,"Milwaukee, Wisconsin",Public,Region 4,JC
Milwaukee School of Engineering,"Milwaukee, Wisconsin",Private,Northern Athletics Collegiate Conference,NCAA D3
Mineral Area College,"Park Hills, Missouri",Public,MCCAC,JC
Minnesota North College – Hibbing,"Hibbing, Minnesota",Public,MCAC,JC
Minnesota North College – Mesabi Range,"Virginia, Minnesota",Public,MCAC,JC
Minnesota North College – Vermilion,"Ely, Minnesota",Public,MCAC,JC
Minnesota State Community & Technical College,"Fergus Falls, Minnesota",Public,MCAC,JC
Minnesota State University – Mankato,"Mankato, Minnesota",Public,Northern Sun Intercollegiate Conference,NCAA D2
Minnesota West Community & Technical College,"Granite Falls, Minnesota",Public,MCAC,JC
Minot State University,"Minot, North Dakota",Public,Northern Sun Intercollegiate Conference,NCAA D2
Misericordia University,"Dallas, Pennsylvania",Private,Middle Atlantic Conferences,NCAA D3
Mississippi College,"Clinton, Mississippi",Private,Gulf South Conference,NCAA D2
Mississippi Delta Community College,"Moorhead, Mississippi",Public,MACCC,JC
Mississippi Gulf Coast Community College,"Perkinston, Mississippi",Public,MACCC,JC
Mississippi State University,"Mississippi State, Mississippi",Public,Southeastern Conference,NCAA D1
Mississippi Valley State University,"Itta Bena, Mississippi",Public,Southwestern Athletic Conference,NCAA D1
Missouri Baptist University,"Saint Louis, Missouri",Private,American Midwest Conference,NAIA
Missouri Southern State University,"Joplin, Missouri",Public,Mid-America Intercollegiate Athletics Association,NCAA D2
Missouri State University,"Springfield, Missouri",Public,Missouri Valley Conference,NCAA D1
Missouri State University – West Plains,"West Plains, Missouri",Public,MCCAC,JC
Missouri University of Science & Technology,"Rolla, Missouri",Public,Great Lakes Valley Conference,NCAA D2
Missouri Valley College,"Marshall, Missouri",Private,Heart of America Athletic Conference,NAIA
Missouri Western State University,"Saint Joseph, Missouri",Public,Mid-America Intercollegiate Athletics Association,NCAA D2
Mitchell College,"New London, Connecticut",Private,Great Northeast Athletic Conference,NCAA D3
Moberly Area Community College,"Moberly, Missouri",Public,MCCAC,JC
Modesto Junior College,"Modesto, California",Public,Central Valley Conference,JC
Molloy University,"Rockville Centre, New York",Private,East Coast Conference,NCAA D2
Monmouth College,"Monmouth, Illinois",Private,Midwest Conference,NCAA D3
Monmouth University,"West Long Branch, New Jersey",Private,Coastal Althletic Conference,NCAA D1
Monroe College – New Rochelle,"Bronx, New York",Private,Region 15,JC
Montana State University – Billings,"Billings, Montana",Public,Great Northwest Athletic Conference,NCAA D2
Montclair State University,"Montclair, New Jersey",Public,New Jersey Athletic Conference,NCAA D3
Monterey Peninsula College,"Monterey, California",Public,Coast,JC
Montgomery College,"Rockville, Maryland",Public,MD JUCO,JC
Montgomery County Community College,"Blue Bell, Pennsylvania",Public,Eastern Pennsylvania Athletic Conference,JC
Montreat College,"Montreat, North Carolina",Private,Appalachian Athletic Conference,NAIA
Moorpark College,"Moorpark, California",Public,WSC,JC
Moraine Valley Community College,"Palos Hills, Illinois",Public,Illinois Skyway Collegiate Conference,JC
Moravian University,"Bethlehem, Pennsylvania",Private,Landmark Conference,NCAA D3
Morehead State University,"Morehead, Kentucky",Public,Ohio Valley Conference,NCAA D1
Morehouse College,"Atlanta, Georgia",Private,Southern Intercollegiate Athletic Conference,NCAA D2
Morningside University,"Sioux City, Iowa",Private,Great Plains Athletic Conference,NAIA
Morris College,"Sumter, South Carolina",Private,Continental Athletic Conference,NAIA
Morton College,"Cicero, Illinois",Public,Illinois Skyway Collegiate Conference,JC
Motlow State Community College,"Tullahoma, Tennessee",Public,TJCCAA,JC
Mott Community College,"Flint, Michigan",Public,MCCAA,JC
Mount Aloysius College,"Cresson, Pennsylvania",Private,Allegheny Mountain Collegiate Conference,NCAA D3
Mount Marty University,"Yankton, South Dakota",Private,Great Plains Athletic Conference,NAIA
Mount Mercy University,"Cedar Rapids, Iowa",Private,Heart of America Athletic Conference,NAIA
Mount Saint Mary College – New York,"Newburgh, New York",Private,Skyline Conference,NCAA D3
Mount St. Joseph University,"Cincinnati, Ohio",Private,Heartland Collegiate Athletic Conference,NCAA D3
Mount St. Mary's University,"Emmitsburg, Maryland",Private,Metro Atlantic Athletic Conference,NCAA D1
Mount Vernon Nazarene University,"Mount Vernon, Ohio",Private,Crossroads League,NAIA
Mountain View College,"Dallas, Texas",Public,Dallas Athletic Conference,JC
Mt. Hood Community College,"Gresham, Oregon",Public,Northwest Athletic Conference,JC
Mt. San Antonio College,"Walnut, California",Public,CCCAA,JC
Mt. San Jacinto College,"San Jacinto, California",Public,IEAC,JC
Muhlenberg College,"Allentown, Pennsylvania",Private,Centennial Conference,NCAA D3
Murray State College,"Tishomingo, Oklahoma",Public,Region 2,JC
Murray State University,"Murray, Kentucky",Public,Missouri Valley Conference,NCAA D1
Muskegon Community College,"Muskegon, Michigan",Public,MCCAA,JC
Muskingum University,"New Concord, Ohio",Private,Ohio Athletic Conference,NCAA D3
Nassau Community College,"Garden City, New York",Public,Region 15,JC
National Park College,"Hot Springs, Arkansas",Public,Region 2,JC
Navarro College,"Corsicana, Texas",Public,SWJCFC,JC
Nebraska Wesleyan University,"Lincoln, Nebraska",Private,American Rivers Conference,NCAA D3
Nelson University,"Waxahachie, Texas",Private,Sooner Athletic Conference,NAIA
Neosho County Community College,"Chanute, Kansas",Public,KJCCC,JC
Neumann University,"Aston, Pennsylvania",Private,Atlantic East Conference,NCAA D3
New College of Florida,"Sarasota, Florida",Public,Sun Conference,NAIA
New England College,"Henniker, New Hampshire",Private,Great Northeast Athletic Conference,NCAA D3
New Jersey City University,"Jersey City, New Jersey",Public,Eastern College Athletic Conference,NCAA D3
New Jersey Institute of Technology,"Newark, New Jersey",Public,American East Conference,NCAA D1
New Mexico Highlands University,"Las Vegas, New Mexico",Public,Rocky Mountain Athletic Conference,NCAA D2
New Mexico Junior College,"Hobbs, New Mexico",Public,Region 5,JC
New Mexico Military Institute,"Roswell, New Mexico",Public,SWJCFC,JC
New Mexico State University,"Las Cruces, New Mexico",Public,Conference USA,NCAA D1
New York University,"New York, New York",Private,University Athletic Association,NCAA D3
Newberry College,"Newberry, South Carolina",Private,South Atlantic Conference,NCAA D2
Newman University,"Wichita, Kansas",Private,Mid-America Intercollegiate Athletics Association,NCAA D2
Niagara University,"Niagara University, New York",Private,Metro Atlantic Athletic Conference,NCAA D1
Nicholls State University,"Thibodaux, Louisiana",Public,Southland Conference,NCAA D1
Nichols College,"Dudley, Massachusetts",Private,Commonwealth Coast Conference,NCAA D3
Norfolk State University,"Norfolk, Virginia",Public,Mid-Eastern Athletic Conference,NCAA D1
North Arkansas College,"Harrison, Arkansas",Public,Region 2,JC
North Carolina A&T State University,"Greensboro, North Carolina",Public,Colonial Athletic Association,NCAA D1
North Carolina State University,"Raleigh, North Carolina",Public,Atlantic Coast Conference,NCAA D1
North Carolina Wesleyan College,"Rocky Mount, North Carolina",Private,USA South Athletic Conference,NCAA D3
North Central College,"Naperville, Illinois",Private,College Conference of Illinois and Wisconsin,NCAA D3
North Central Missouri College,"Trenton, Missouri",Public,Region 21,JC
North Central Texas College,"Gainesville, Texas",Public,Region 5,JC
North Central University,"Minneapolis, Minnesota",Private,Upper Midwest Athletic Conference,NCAA D3
North Dakota State College of Science,"Wahpeton, North Dakota",Public,Mon-Dak Conference,JC
North Dakota State University,"Fargo, North Dakota",Public,The Summit League,NCAA D1
North Greenville University,"Tigerville, South Carolina",Private,Conference Carolinas,NCAA D2
North Iowa Area Community College,"Mason City, Iowa",Public,ICCAC,JC
North Lake College,"Irving, Texas",Public,Region 5,JC
North Park University,"Chicago, Illinois",Private,College Conference of Illinois and Wisconsin,NCAA D3
Northampton County Area Community College,"Bethlehem, Pennsylvania",Public,Eastern Pennsylvania Athletic Conference,JC
Northeast Community College,"Norfolk, Nebraska",Public,ICCAC,JC
Northeast Mississippi Community College,"Booneville, Mississippi",Public,MACCC,JC
Northeast Texas Community College,"Mount Pleasant, Texas",Public,Region 14,JC
Northeastern Junior College,"Sterling, Colorado",Public,Region 9,JC
Northeastern Oklahoma A&M College,"Miami, Oklahoma",Public,Region 2,JC
Northeastern State University,"Tahlequah, Oklahoma",Public,Mid-America Intercollegiate Athletics Association,NCAA D2
Northeastern University,"Boston, Massachusetts",Private,Colonial Athletic Association,NCAA D1
Northern Essex Community College,"Haverhill, Massachusetts",Public,Region 21,JC
Northern Illinois University,"Dekalb, Illinois",Public,Mid-American Conference,NCAA D1
Northern Kentucky University,"Highland Heights, Kentucky",Public,Horizon League,NCAA D1
Northern Oklahoma College,"Tonkawa, Oklahoma",Public,Region 2,JC
Northern State University,"Aberdeen, South Dakota",Public,Northern Sun Intercollegiate Conference,NCAA D2
Northland College,"Ashland, Wisconsin",Private,Upper Midwest Athletic Conference,NCAA D3
Northland Community & Technical College,"Thief River Falls, Minnesota",Public,MCAC,JC
Northwest Florida State College,"Niceville, Florida",Public,Panhandle Conference,JC
Northwest Mississippi Community College,"Senatobia, Mississippi",Public,MACCC,JC
Northwest Missouri State University,"Maryville, Missouri",Public,Mid-America Intercollegiate Athletics Association,NCAA D2
Northwest Nazarene University,"Nampa, Idaho",Private,Great Northwest Athletic Conference,NCAA D2
Northwest-Shoals Community College,"Muscle Shoals, Alabama",Public,Alabama Community College Conference,JC
Northwestern College – Iowa,"Orange City, Iowa",Private,Great Plains Athletic Conference,NAIA
Northwestern Oklahoma State University,"Alva, Oklahoma",Public,Great American Conference,NCAA D2
Northwestern State University of Louisiana,"Natchitoches, Louisiana",Public,Southland Conference,NCAA D1
Northwestern University,"Evanston, Illinois",Private,Big Ten,NCAA D1
Northwood University – Michigan,"Midland, Michigan",Private,Great Midwest Athletic Conference,NCAA D2
Norwich University,"Northfield, Vermont",Private,Great Northeast Athletic Conference,NCAA D3
Notre Dame of Maryland University,"Baltimore, Maryland",Private,United East Conference,NCAA D3
Nova Southeastern University,"Fort Lauderdale, Florida",Private,Sunshine State Conference,NCAA D2
Nunez Community College,"Chalmette, Louisiana",Public,Region 23,JC
Oakland City University,"Oakland City, Indiana",Private,River States Conference,NAIA
Oakland University,"Rochester Hills, Michigan",Public,Horizon League,NCAA D1
Oakton College,"Des Plaines, Illinois",Public,Illinois Skyway Collegiate Conference,JC
Oberlin College,"Oberlin, Ohio",Private,North Coast Athletic Conference,NCAA D3
Occidental College,"Los Angeles, California",Private,Southern California Intercollegiate Athletic Conference,NCAA D3
Ocean County College,"Toms River, New Jersey",Public,Garden State Athletic Conference,JC
Odessa College,"Odessa, Texas",Public,WJCAC,JC
Oglethorpe University,"Atlanta, Georgia",Private,Southern Athletic Association,NCAA D3
Ohio Christian University,"Circleville, Ohio",Private,River States Conference,NAIA
Ohio Dominican University,"Columbus, Ohio",Private,Great Midwest Athletic Conference,NCAA D2
Ohio Northern University,"Ada, Ohio",Private,Ohio Athletic Conference,NCAA D3
Ohio State University,"Columbus, Ohio",Public,Big Ten,NCAA D1
Ohio University,"Athens, Ohio",Public,Mid-American Conference,NCAA D1
Ohio Wesleyan University,"Delaware, Ohio",Private,North Coast Athletic Conference,NCAA D3
Oklahoma Baptist University,"Shawnee, Oklahoma",Private,Great American Conference,NCAA D2
Oklahoma Christian University,"Edmond, Oklahoma",Private,Lone Star Conference,NCAA D2
Oklahoma City University,"Oklahoma City, Oklahoma",Private,Sooner Athletic Conference,NAIA
Oklahoma Panhandle State University,"Goodwell, Oklahoma",Public,Sooner Athletic Conference,NAIA
Oklahoma State University,"Stillwater, Oklahoma",Public,Big 12 Conference,NCAA D1
Oklahoma Wesleyan University,"Bartlesville, Oklahoma",Private,Kansas Collegiate Athletic Conference,NAIA
Old Dominion University,"Norfolk, Virginia",Public,Sun Belt Conference,NCAA D1
Olivet Nazarene University,"Bourbonnais, Illinois",Private,Chicagoland Collegiate Athletic Conference,NAIA
Olney Central College,"Olney, Illinois",Public,Great Rivers Athletic Conference,JC
Olympic College,"Bremerton, Washington",Public,Northwest Athletic Conference,JC
Onondaga Community College,"Syracuse, New York",Public,Mid-State Athletic Conference,JC
Oral Roberts University,"Tulsa, Oklahoma",Private,The Summit League,NCAA D1
Orange Coast College,"Costa Mesa, California",Public,Orange Empire Conference,JC
Oregon Institute of Technology,"Klamath Falls, Oregon",Public,Cascade Collegiate Conference,NAIA
Oregon State University,"Corvallis, Oregon",Public,West Coast Conference,NCAA D1
Otero Junior College,"La Junta, Colorado",Public,Region 9,JC
Ottawa University,"Ottawa, Kansas",Private,Kansas Collegiate Athletic Conference,NAIA
Ottawa University – Arizona,"Phoenix, Arizona",Private,Golden State Athletic Conference,NAIA
Otterbein University,"Westerville, Ohio",Private,Ohio Athletic Conference,NCAA D3
Ouachita Baptist University,"Arkadelphia, Arkansas",Private,Great American Conference,NCAA D2
Our Lady of the Lake University,"San Antonio, Texas",Private,Red River Athletic Conference,NAIA
Owens Community College,"Perrysburg, Ohio",Public,OCCAC,JC
Pace University,"New York, New York",Private,Northeast-10 Conference,NCAA D2
Pacific Lutheran University,"Tacoma, Washington",Private,Northwest Conference,NCAA D3
Pacific University,"Forest Grove, Oregon",Private,Northwest Conference,NCAA D3
Palm Beach Atlantic University,"West Palm Beach, Florida",Private,Sunshine State Conference,NCAA D2
Palm Beach State College,"Lake Worth, Florida",Public,FCSAA,JC
Palomar College,"San Marcos, California",Public,PCAC,JC
Panola College,"Carthage, Texas",Public,Region 14,JC
Paradise Valley Community College,"Phoenix, Arizona",Public,ACCAC,JC
Paris Junior College,"Paris, Texas",Public,Region 24,JC
Park University,"Parkville, Missouri",Private,Heart of America Athletic Conference,NAIA
Park University – Gilbert,"Gilbert, Arizona",Private,Golden State Athletic Conference,NAIA
Parkland College,"Champaign, Illinois",Public,Mid-West Athletic Conference,JC
Pasadena City College,"Pasadena, California",Public,South Coast Conference,JC
Pasco-Hernando State College,"New Port Richey, Florida",Public,FCSAA,JC
Patrick & Henry Community College,"Martinsville, Virginia",Public,REG10N,JC
Paul D. Camp Community College,"Franklin, Virginia",Public,Region 10,JC
Pearl River Community College,"Poplarville, Mississippi",Public,MACCC,JC
Penn State,"University Park, Pennsylvania",Public,Big Ten,NCAA D1
Penn State Abington,"Abington, Pennsylvania",Public,United East Conference,NCAA D3
Penn State Altoona,"Altoona, Pennsylvania",Public,Allegheny Mountain Collegiate Conference,NCAA D3
Penn State Beaver,"Monaca, Pennsylvania",Public,PSUAC,NCAA D3
Penn State Berks,"Reading, Pennsylvania",Public,United East Conference,NCAA D3
Penn State Erie – The Behrend College,"Erie, Pennsylvania",Public,D3 Baseball,NCAA D3
Penn State Fayette – Eberly Campus,"Lemont Furnace, Pennsylvania",Public,PSUAC,NCAA D3
Penn State Harrisburg,"Middletown, Pennsylvania",Public,United East Conference,NCAA D3
Pennsylvania College of Technology,"Williamsport, Pennsylvania",Public,United East Conference,NCAA D3
Pensacola State College,"Pensacola, Florida",Public,Panhandle Conference,JC
Pepperdine University,"Malibu, California",Private,West Coast Conference,NCAA D1
Peru State College,"Peru, Nebraska",Public,Heart of America Athletic Conference,NAIA
Pfeiffer University,"Misenheimer, North Carolina",Private,USA South Athletic Conference,NCAA D3
Philander Smith College,"Little Rock, Arkansas",Private,HBCU Athletic Conference,NAIA
Phoenix College,"Phoenix, Arizona",Public,ACCAC,JC
Piedmont University,"Demorest, Georgia",Private,Collegiate Conference of the South,NCAA D3
Pierce College at Fort Steilacoom,"Lakewood, Washington",Public,Northwest Athletic Conference,JC
Pima Community College,"Tucson, Arizona",Public,ACCAC,JC
Pitt Community College,"Winterville, North Carolina",Public,REG10N,JC
Pittsburg State University,"Pittsburg, Kansas",Public,Mid-America Intercollegiate Athletics Association,NCAA D2
Plymouth State University,"Plymouth, New Hampshire",Public,Massachusetts State Collegiate Athletic Conference,NCAA D3
Point Loma Nazarene University,"San Diego, California",Private,Pacific West Conference,NCAA D2
Point Park University,"Pittsburgh, Pennsylvania",Private,Mountain East,NCAA D2
Point University,"West Point, Georgia",Private,Southern States Athletic Conference,NAIA
Polk State College,"Winter Haven, Florida",Public,FCSAA,JC
Pomona-Pitzer Colleges,"Claremont, California",Private,Southern California Intercollegiate Athletic Conference,NCAA D3
Porterville College,"Porterville, California",Public,Central Valley Conference,JC
Post University,"Waterbury, Connecticut",Private,Central Atlantic Collegiate Conference,NCAA D2
Prairie State College,"Chicago Heights, Illinois",Public,Illinois Skyway Collegiate Conference,JC
Prairie View A & M University,"Prairie View, Texas",Public,Southwestern Athletic Conference,NCAA D1
Pratt Community College,"Pratt, Kansas",Public,KJCCC,JC
Presbyterian College,"Clinton, South Carolina",Private,Big South Conference,NCAA D1
Prince George's Community College,"Largo, Maryland",Public,MD JUCO,JC
Princeton University,"Princeton, New Jersey",Private,Ivy League,NCAA D1
Principia College,"Elsah, Illinois",Private,St. Louis Intercollegiate Athletic Conference,NCAA D3
Providence Christian College,"Pasadena, California",Private,California Pacific Conference,NAIA
Purdue University,"West Lafayette, Indiana",Public,Big Ten,NCAA D1
Purdue University – Fort Wayne,"Fort Wayne, Indiana",Public,Horizon League,NCAA D1
Purdue University – Northwest,"Hammond, Indiana",Public,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Queens University of Charlotte,"Charlotte, North Carolina",Private,Atlantic Sun Conference,NCAA D1
Quincy College,"Quincy, Massachusetts",Public,Region 21,JC
Quincy University,"Quincy, Illinois",Private,Great Lakes Valley Conference,NCAA D2
Quinnipiac University,"Hamden, Connecticut",Private,Metro Atlantic Athletic Conference,NCAA D1
Quinsigamond Community College,"Worcester, Massachusetts",Public,Region 21,JC
Radford University,"Radford, Virginia",Public,Big South Conference,NCAA D1
Rainy River Community College,"International Falls, Minnesota",Public,MCAC,JC
Ramapo College of New Jersey,"Mahwah, New Jersey",Public,New Jersey Athletic Conference,NCAA D3
Randolph-Macon College,"Ashland, Virginia",Private,Old Dominion Athletic Conference,NCAA D3
Ranger College,"Ranger, Texas",Public,NTJCAC,JC
Raritan Valley Community College,"Branchburg, New Jersey",Public,Garden State Athletic Conference,JC
Redlands Community College,"El Reno, Oklahoma",Public,Region 2,JC
Reedley College,"Reedley, California",Public,Big 8 Conference,JC
Regis University,"Denver, Colorado",Private,Rocky Mountain Athletic Conference,NCAA D2
Reinhardt University,"Waleska, Georgia",Private,Appalachian Athletic Conference,NAIA
Rend Lake College,"Ina, Illinois",Public,Great Rivers Athletic Conference,JC
Rensselaer Polytechnic Institute – RPI,"Troy, New York",Private,Liberty League,NCAA D3
Rhode Island College,"Providence, Rhode Island",Public,Little East Conference,NCAA D3
Rhodes College,"Memphis, Tennessee",Private,Southern Athletic Association,NCAA D3
Rice University,"Houston, Texas",Private,American Athletic Conference,NCAA D1
Richard Bland College,"South Prince George, Virginia",Public,REG10N,JC
Rider University,"Lawrenceville, New Jersey",Private,Metro Atlantic Athletic Conference,NCAA D1
Ridgewater College,"Willmar, Minnesota",Public,MCAC,JC
Ripon College,"Ripon, Wisconsin",Private,Midwest Conference,NCAA D3
Riverland Community College,"Austin, Minnesota",Public,MCAC,JC
Riverside City College,"Riverside, California",Public,OEC,JC
Rivier University,"Nashua, New Hampshire",Private,Great Northeast Athletic Conference,NCAA D3
Roane State Community College,"Harriman, Tennessee",Public,TCCAA,JC
Roanoke College,"Salem, Virginia",Private,Old Dominion Athletic Conference,NCAA D3
Rochester Community & Technical College,"Rochester, Minnesota",Public,MCAC,JC
Rochester Institute of Technology,"Rochester, New York",Private,Liberty League,NCAA D3
Rochester University,"Rochester Hills, Michigan",Private,Wolverine-Hoosier Athletic Conference,NAIA
Rock Valley College,"Rockford, Illinois",Public,Region 4,JC
Rockford University,"Rockford, Illinois",Private,Northern Athletics Collegiate Conference,NCAA D3
Rockhurst University,"Kansas City, Missouri",Private,Great Lakes Valley Conference,NCAA D2
Rockingham Community College,"Wentworth, North Carolina",Public,REG10N,JC
Roger Williams University,"Bristol, Rhode Island",Private,Commonwealth Coast Conference,NCAA D3
Rogers State University,"Claremore, Oklahoma",Public,Mid-America Intercollegiate Athletics Association,NCAA D2
Rollins College,"Winter Park, Florida",Private,Sunshine State Conference,NCAA D2
Roosevelt University,"Chicago, Illinois",Private,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Rose State College,"Midwest City, Oklahoma",Public,Region 2,JC
Rose-Hulman Institute of Technology,"Terre Haute, Indiana",Private,Heartland Collegiate Athletic Conference,NCAA D3
Rosemont College,"Rosemont, Pennsylvania",Private,United East Conference,NCAA D3
Rowan College – South Jersey (Formerly Cumberland County College),"Vineland, New Jersey",Public,Garden State Athletic Conference,JC
Rowan College – South Jersey (Gloucester),"Sewell, New Jersey",Public,Garden State Athletic Conference,JC
Rowan University,"Glassboro, New Jersey",Public,New Jersey Athletic Conference,NCAA D3
Roxbury Community College,"Roxbury Crossing, Massachusetts",Public,Region 21,JC
Russell Sage College,"Troy, New York",Private,Empire 8 Athletic Conference,NCAA D3
Rust College,"Holly Springs, Mississippi",Private,HBCU Athletic Conference,NAIA
Rutgers University,"Piscataway, New Jersey",Public,Big Ten,NCAA D1
Rutgers University – Camden,"Camden, New Jersey",Public,New Jersey Athletic Conference,NCAA D3
Rutgers University – Newark,"Newark, New Jersey",Public,New Jersey Athletic Conference,NCAA D3
Sacramento City College,"Sacramento, California",Public,Big 8 Conference,JC
Sacred Heart University,"Fairfield, Connecticut",Private,Metro Atlantic Athletic Conference,NCAA D1
Saddleback College,"Mission Viejo, California",Public,Orange Empire Conference,JC
Saginaw Valley State University,"University Center, Michigan",Public,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Saint Anselm College,"Manchester, New Hampshire",Private,Northeast-10 Conference,NCAA D2
Saint Elizabeth University,"Morristown, New Jersey",Private,United East Conference,NCAA D3
Saint John's University – Minnesota,"Collegeville, Minnesota",Private,Minnesota Intercollegiate Athletic Conference,NCAA D3
Saint Joseph's College of Maine,"Standish, Maine",Private,Great Northeast Athletic Conference,NCAA D3
Saint Joseph's University,"Philadelphia, Pennsylvania",Private,Atlantic 10 Conference,NCAA D1
Saint Leo University,"Saint Leo, Florida",Private,Sunshine State Conference,NCAA D2
Saint Louis University,"St. Louis, Missouri",Private,Atlantic 10 Conference,NCAA D1
